unicode_id,sign_grapheme,transliteration
U+12184,𒆄,ka × sig
U+12185,𒆅,ka × suhur
U+12186,𒆆,ka × tar
U+12187,𒆇,ka × u
U+12188,𒆈,ka × u₂
U+12189,𒆉,ka × ud
U+1218A,𒆊,ka × umum × pa
U+1218B,𒆋,ka × ush
U+1218C,𒆌,ka × zi
U+1218D,𒆍,ka₂
U+1218E,𒆎,ka₂ crossing ka₂
U+1218F,𒆏,kab
U+12190,𒆐,kad₂
U+12191,𒆑,kad₃
U+12192,𒆒,kad₄
U+12193,𒆓,kad₅
U+12194,𒆔,kad₅ / kad₅
U+12195,𒆕,kak
U+12196,𒆖,kak × igi gunu
U+12197,𒆗,kal
U+12198,𒆘,kal × bad
U+12199,𒆙,kal crossing kal
U+1219A,𒆚,kam₂
U+1219B,𒆛,kam₄
U+1219C,𒆜,kaskal
U+1219D,𒆝,kaskal lagab × u / lagab × u
U+1219E,𒆞,kaskal / kaskal lagab × u / lagab × u
U+1219F,𒆟,kesh₂
U+121A0,𒆠,ki
U+121A1,𒆡,ki × bad
U+121A2,𒆢,ki × u
U+121A3,𒆣,ki × ud
U+121A4,𒆤,kid
U+121A5,𒆥,kin
U+121A6,𒆦,kisal
U+121A7,𒆧,kish
U+121A8,𒆨,kisim₅
U+121A9,𒆩,kisim₅ / kisim₅
U+121AA,𒆪,ku
U+121AB,𒆫,ku / hi × ash₂ ku / hi × ash₂
U+121AC,𒆬,ku₃
U+121AD,𒆭,ku₄
U+121AE,𒆮,ku₄ variant form
U+121AF,𒆯,ku₇
U+121B0,𒆰,kul
U+121B1,𒆱,kul gunu
U+121B2,𒆲,kun
U+121B3,𒆳,kur
U+121B4,𒆴,kur opposing kur
U+121B5,𒆵,kushu₂
U+121B6,𒆶,kwu₃₁₈
U+121B7,𒆷,la
U+121B8,𒆸,lagab
U+121B9,𒆹,lagab × a
U+121BA,𒆺,lagab × a + da + ha
U+121BB,𒆻,lagab × a + gar
U+121BC,𒆼,lagab × a + lal
U+121BD,𒆽,lagab × al
U+121BE,𒆾,lagab × an
U+121BF,𒆿,lagab × ash zida tenu
U+121C0,𒇀,lagab × bad
U+121C1,𒇁,lagab × bi
U+121C2,𒇂,lagab × dar
U+121C3,𒇃,lagab × en
U+121C4,𒇄,lagab × ga
U+121C5,𒇅,lagab × gar
U+121C6,𒇆,lagab × gud
U+121C7,𒇇,lagab × gud + gud
U+121C8,𒇈,lagab × ha
