unicode_id,sign_grapheme,unicodeTrLit,syllabarySign,PhoneticsVersion
U+1207E,𒁾,dub,DUB,DAB4 | DEH | DEHI | DIH | DUB | DUBA | DUBBA | DUBU | DUP | KIŠIB3 | LE'UM | MEBULUG3 | MENBULUG3 | MES2 | SIMIG | TEHI | TUB | TUP | URUD2 | URUDU2 | dab4 | deh | dehi | dih | dub | duba | dubba | dubu | dup | kišib3 | le'um | mebulug3 | menbulug3 | mes2 | simig | tehi | tub | tup | urud2 | urudu2 | ŠEN4 | šen4 | ŢUP | ţup
U+12080,𒂀,dub₂,DUB2,DIM5 | DUB2 | DUBA2 | DUBU2 | DUP2 | SAGKURINI | TIG3 | TU16 | TUB2 | TUNX(DUB2) | TUP2 | dim5 | dub2 | duba2 | dubu2 | dup2 | sagkurini | tig3 | tu16 | tub2 | tunx(DUB2) | tup2 | ŢUB2 | ţub2
U+12081,𒂁,dug,DUG,DUG | DUK | DUKA | DUQ | EBIR | EPIG2 | EPIR | GURINX(DUG) | GURUN7 | KURINX(DUG) | KURUM10 | KURUN3 | LIŢ2 | LUD | LUM3 | LUMU3 | LUT | LUTU | LUŢ | LUŢU | SI14 | TUG3 | TUK3 | TUQ3 | ULUD | URRUB | URSUB | URZUB | URŞUB | ZURZUB | dug | duk | duka | duq | ebir | epig2 | epir | gurinx(DUG) | gurun7 | kurinx(DUG) | kurum10 | kurun3 | liţ2 | lud | lum3 | lumu3 | lut | lutu | luţ | luţu | si14 | tug3 | tuk3 | tuq3 | ulud | urrub | ursub | urzub | urşub | zurzub | ŞURŞUB | şurşub | ŠIKIN2 | šikin2
U+12082,𒂂,dugud,DUGUD,DUGUD | DUGUDA | DUGUX(DUGUD) | DUKUDX(DUGUD) | GI25 | KAPTU | QAPTU | dugud | duguda | dugux(DUGUD) | dukudx(DUGUD) | gi25 | kaptu | qaptu | ĜI25 | ĝi25
U+12083,𒂃,duh,GABA,DU8 | DUDDA | DUH | GA15 | GAB | GABA | GAP | IRTU | PITRU | QAB | QAP | TAH2 | TU24 | TUH | TUHU | du8 | dudda | duh | ga15 | gab | gaba | gap | irtu | pitru | qab | qap | tah2 | tu24 | tuh | tuhu | ŢAH2 | ŢU5 | ŢUH | ţah2 | ţu5 | ţuh
U+12084,𒂄,dun,DUN,DU24 | DUN | DUNA | DUR9 | DURU9 | SAH3 | SU17 | SUL | TUN4 | ZU7 | du24 | dun | duna | dur9 | duru9 | sah3 | su17 | sul | tun4 | zu7 | ŠAH2 | ŠAHAN3 | ŠUL | šah2 | šahan3 | šul
U+12085,𒂅,dun₃,DUN3,DU5 | DUG5 | DULX(DUN3) | DUN3 | SU18 | SUG5 | TU18 | TUG8 | TUN3 | TUNA3 | du5 | dug5 | dulx(DUN3) | dun3 | su18 | sug5 | tu18 | tug8 | tun3 | tuna3 | ŢU | ţu
U+12086,𒂆,dun₃ gunu,DUN3@g,AGA3 | AĜA3 | DUN3@G | DUN3@g | GE11 | GI11 | GIG4 | GIM2 | GIN2 | GINA2 | GIĜ4 | PUŠ4 | aga3 | aĝa3 | ge11 | gi11 | gig4 | gim2 | gin2 | gina2 | giĝ4 | puš4
U+12087,𒂇,dun₃ gunu gunu,DUN3@g@g,AGA | AGU | DUN3@G@G | DUN3@g@g | IR17 | MER | MERE | MIGIR | MIR | MIRI | NIGIR | NIMGIR | NIMIRX(DUN3@G@G) | NIĜIR | TEN3 | TIN3 | UKU | aga | agu | ir17 | mer | mere | migir | mir | miri | nigir | nimgir | nimirx(DUN3@g@g) | niĝir | ten3 | tin3 | uku
U+12088,𒂈,dun₄,DUN4,DUL4 | DUN4 | MIGIR2 | NIGIR2 | NIMGIR2 | TUL6 | dul4 | dun4 | migir2 | nigir2 | nimgir2 | tul6 | ŠUDUN4 | ŠUTUL4 | ŠUTUN4 | šudun4 | šutul4 | šutun4
