unicode_id,sign_grapheme,sign_trlitScien,sign_phonetic,sign_translation,sign_type,is_compound,component_position,word_id,confidence,source,artifact_id,corpus_id,genre_name,provenance,modern,archaeological_context,period_index,period_dates,languages,is_school_text,genre_uncertain,period_uncertain,provenience_uncertain
U+12147,𒅇,|IGI.DIB|,u3,,SYLL,SIMPLE,,P229166_104,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1221B,𒈛,LUH,luh,,SYLL,SIMPLE,,P229166_104,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_106,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1227A,𒉺,PA,pa,,SYLL,SIMPLE,,P229166_107,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_109,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1227A,𒉺,PA,pa,,SYLL,SIMPLE,,P229166_110,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+122FB,𒋻,TAR,ku5,,SYLL,SIMPLE,,P229166_110,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_112,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_114,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1231D,𒌝,UM,um,,SYLL,SIMPLE,,P229166_115,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_117,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12226,𒈦,MAŠ,maš,,SYLL,SIMPLE,,P229166_118,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12055,𒁕,DA,da,,SYLL,SIMPLE,,P229166_118,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_119,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1231D,𒌝,UM,um,,SYLL,SIMPLE,,P229166_120,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_121,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12197,𒆗,KAL,kal,,SYLL,SIMPLE,,P229166_122,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+121B7,𒆷,LA,la,,SYLL,SIMPLE,,P229166_122,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12049,𒁉,BI,bi,,SYLL,SIMPLE,,P229166_122,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_123,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12049,𒁉,BI,bi,,SYLL,SIMPLE,,P229166_124,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
