unicode_id,sign_grapheme,sign_source,sign_structure,structural_hint,component_position,sign_name,allograph_form,graphic_variant_id,sign_type,compound_form,compound_grapheme,compound_unicode,unicodeTrLit,syllabary_sign,typePhonetic_Version,phonetic_version,signList_analogue
X,,OSL,compound,,2,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,AGISALGA_v1,Type_2,|A.LAK648×A.GAD.GAR.A.SI|,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,,,No Attested Compound Reading,,
U+120F0,𒃰,OSL,compound,,3,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,AGISALGA_v1,Type_2,|A.LAK648×A.GAD.GAR.A.SI|,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,gad,GAD,No Attested Compound Reading,,
U+120FB,𒃻,OSL,compound,,4,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,AGISALGA_v1,Type_2,|A.LAK648×A.GAD.GAR.A.SI|,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,gar,GAR,No Attested Compound Reading,,
U+12000,𒀀,OSL,compound,,5,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,AGISALGA_v1,Type_2,|A.LAK648×A.GAD.GAR.A.SI|,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,a,A,No Attested Compound Reading,,
U+122DB,𒋛,OSL,compound,,6,|A.GISAL.GAD.GAR.A.SI|,|A.LAK648×A.GAD.GAR.A.SI|,AGISALGA_v1,Type_2,|A.LAK648×A.GAD.GAR.A.SI|,𒀀X𒃰𒃻𒀀𒋛,U+12000; X; U+120F0; U+120FB; U+12000; U+122DB,si,SI,No Attested Compound Reading,,
U+12000,𒀀,OSL,compound,,1,|A.GISAL.PAD.SI.A|,,AGISALPA_v1,Type_2,|A.GISAL.PAD.SI.A|,𒀀𒄐𒉻𒋛𒀀,U+12000; U+12110; U+1227B; U+122DB; U+12000,a,A,Attested Compound Reading,addirₓ,
U+12110,𒄐,OSL,compound,,2,|A.GISAL.PAD.SI.A|,,AGISALPA_v1,Type_2,|A.GISAL.PAD.SI.A|,𒀀𒄐𒉻𒋛𒀀,U+12000; U+12110; U+1227B; U+122DB; U+12000,gisal,GISAL,Attested Compound Reading,addirₓ,
U+1227B,𒉻,OSL,compound,,3,|A.GISAL.PAD.SI.A|,,AGISALPA_v1,Type_2,|A.GISAL.PAD.SI.A|,𒀀𒄐𒉻𒋛𒀀,U+12000; U+12110; U+1227B; U+122DB; U+12000,pad,PAD,Attested Compound Reading,addirₓ,
U+122DB,𒋛,OSL,compound,,4,|A.GISAL.PAD.SI.A|,,AGISALPA_v1,Type_2,|A.GISAL.PAD.SI.A|,𒀀𒄐𒉻𒋛𒀀,U+12000; U+12110; U+1227B; U+122DB; U+12000,si,SI,Attested Compound Reading,addirₓ,
U+12000,𒀀,OSL,compound,,5,|A.GISAL.PAD.SI.A|,,AGISALPA_v1,Type_2,|A.GISAL.PAD.SI.A|,𒀀𒄐𒉻𒋛𒀀,U+12000; U+12110; U+1227B; U+122DB; U+12000,a,A,Attested Compound Reading,addirₓ,
U+12000,𒀀,OSL,compound,,1,|A.GISAL.SI.ELLES214|,,AGISALSI_v1,Type_2,|A.GISAL.SI.ELLES214|,𒀀𒄐𒋛X,U+12000; U+12110; U+122DB; X,a,A,Attested Compound Reading,addirₓ,
U+12110,𒄐,OSL,compound,,2,|A.GISAL.SI.ELLES214|,,AGISALSI_v1,Type_2,|A.GISAL.SI.ELLES214|,𒀀𒄐𒋛X,U+12000; U+12110; U+122DB; X,gisal,GISAL,Attested Compound Reading,addirₓ,
U+122DB,𒋛,OSL,compound,,3,|A.GISAL.SI.ELLES214|,,AGISALSI_v1,Type_2,|A.GISAL.SI.ELLES214|,𒀀𒄐𒋛X,U+12000; U+12110; U+122DB; X,si,SI,Attested Compound Reading,addirₓ,
X,,OSL,compound,,4,|A.GISAL.SI.ELLES214|,,AGISALSI_v1,Type_2,|A.GISAL.SI.ELLES214|,𒀀𒄐𒋛X,U+12000; U+12110; U+122DB; X,,,Attested Compound Reading,addirₓ,
U+12000,𒀀,OSL,compound,,1,|A.HA|,,AHA_v1,Type_2,|A.HA|,𒀀𒄩,U+12000; U+12129,a,A,Attested Compound Reading,kuar₂|kuara₂|sahₓ|tuba₂|urumₓ|xriₓ|zahₓ,
U+12129,𒄩,OSL,compound,,2,|A.HA|,,AHA_v1,Type_2,|A.HA|,𒀀𒄩,U+12000; U+12129,ha,HA,Attested Compound Reading,kuar₂|kuara₂|sahₓ|tuba₂|urumₓ|xriₓ|zahₓ,
U+12000,𒀀,OSL,compound,,1,|A.HA.A|,,AHAA_v1,Type_2,|A.HA.A|,𒀀𒄩𒀀,U+12000; U+12129; U+12000,a,A,Attested Compound Reading,sahₓ|zahₓ,
U+12129,𒄩,OSL,compound,,2,|A.HA.A|,,AHAA_v1,Type_2,|A.HA.A|,𒀀𒄩𒀀,U+12000; U+12129; U+12000,ha,HA,Attested Compound Reading,sahₓ|zahₓ,
U+12000,𒀀,OSL,compound,,3,|A.HA.A|,,AHAA_v1,Type_2,|A.HA.A|,𒀀𒄩𒀀,U+12000; U+12129; U+12000,a,A,Attested Compound Reading,sahₓ|zahₓ,
U+12000,𒀀,OSL,compound,,1,|A.HA.TAR.DU|,|A.BU|,AHATARDU_v1,Type_2,|A.BU|,𒀀𒁍,U+12000; U+1204D,a,A,Compound Nested in Longer Form,,
U+1204D,𒁍,OSL,compound,,2,|A.HA.TAR.DU|,|A.BU|,AHATARDU_v1,Type_2,|A.BU|,𒀀𒁍,U+12000; U+1204D,bu,BU,Compound Nested in Longer Form,,
U+12000,𒀀,OSL,compound,,1,|A.HA.TAR.DU|,|A.BU.DU|,AHATARDU_v2,Type_2,|A.BU.DU|,𒀀𒁍𒁺,U+12000; U+1204D; U+1207A,a,A,No Attested Compound Reading,,
U+1204D,𒁍,OSL,compound,,2,|A.HA.TAR.DU|,|A.BU.DU|,AHATARDU_v2,Type_2,|A.BU.DU|,𒀀𒁍𒁺,U+12000; U+1204D; U+1207A,bu,BU,No Attested Compound Reading,,
U+1207A,𒁺,OSL,compound,,3,|A.HA.TAR.DU|,|A.BU.DU|,AHATARDU_v2,Type_2,|A.BU.DU|,𒀀𒁍𒁺,U+12000; U+1204D; U+1207A,du,DU,No Attested Compound Reading,,
U+12000,𒀀,OSL,compound,,1,|A.HA.TAR.DU|,|A.BU.HA|,AHATARDU_v3,Type_2,|A.BU.HA|,𒀀𒁍𒄩,U+12000; U+1204D; U+12129,a,A,No Attested Compound Reading,,
U+1204D,𒁍,OSL,compound,,2,|A.HA.TAR.DU|,|A.BU.HA|,AHATARDU_v3,Type_2,|A.BU.HA|,𒀀𒁍𒄩,U+12000; U+1204D; U+12129,bu,BU,No Attested Compound Reading,,
